fire_location_latitude,fire_location_longitude,fire_start_date,weather_conditions_over_fire,temperature,relative_humidity,wind_speed
56.249956,-117.18196,2006-04-02 12:00:00,Clear,18,10,2
53.606367,-115.915733,2006-04-03 12:10:00,Clear,12,22,10
53.610933,-115.594267,2006-04-03 12:15:00,Clear,12,22,10
53.608867,-115.609467,2006-04-03 12:10:00,Clear,12,22,10
56.249956,-117.050249,2006-04-03 17:00:00,Clear,6,37,2
51.152933,-115.0346,2006-04-02 14:25:00,Clear,11,32,20
51.157633,-115.002133,2006-04-03 15:30:00,Cloudy,11,25,10
53.535445,-116.860038,2006-04-04 10:00:00,Clear,16,17,2
57.177967,-117.642817,2006-01-15 12:00:00,Clear,11,35,7
55.02737,-111.54191,2006-04-04 07:00:00,Cloudy,11,44,4
52.005383,-115.00125,2006-07-03 12:00:00,Clear,28,29,3
49.67305,-114.593,2006-07-29 09:00:00,Clear,26,22,25
54.0689,-117.6814,2006-07-22 17:00:00,CB Wet,25,60,15
54.011667,-116.965,2006-07-22 20:00:00,Clear,35,32,5
55.076933,-118.609167,2006-05-28 22:55:00,Rainshowers,15,45,10
52.75055,-116.386883,2006-07-30 00:00:00,Cloudy,10,8,0
52.528446,-115.215177,2006-07-30 07:00:00,Rainshowers,13.2,90,2
57.264167,-117.901111,2006-07-03 22:30:00,Clear,27,30,15
52.7893,-115.906033,2006-07-04 12:45:00,Clear,27,38,7
54.284833,-115.834167,2006-07-08 14:40:00,Clear,25,45,7
51.266717,-114.970933,2006-07-30 12:00:00,Rainshowers,18,40,10
51.159539,-114.852534,2006-07-29 23:40:00,Clear,15,70,10
58.837729,-118.851351,2006-08-21 18:30:00,Clear,20,59,4
56.99495,-113.70025,2006-07-03 01:30:00,CB Wet,28,30,12
52.982117,-116.52635,2006-07-03 18:30:00,Clear,28,30,15
54.213583,-115.68855,2006-08-08 22:00:00,CB Dry,17,40,10
57.9075,-115.367667,2006-08-22 00:00:00,Clear,22,37,10
55.196467,-117.2414,2006-07-08 15:20:00,Cloudy,20,40,5
57.847167,-113.468833,2006-08-22 17:59:00,Cloudy,24,40,20
58.034017,-113.114483,2006-08-22 18:25:00,Cloudy,24,45,10
53.4978,-117.82615,2006-06-21 15:20:00,Clear,25,18,2
57.2896,-114.823533,2006-06-29 11:40:00,Clear,20,35,15
54.097683,-118.3434,2006-07-03 21:00:00,Cloudy,17,57,7
54.255967,-118.27675,2006-07-03 17:52:00,Clear,26,20,5
53.351167,-116.492167,2006-07-03 18:30:00,Cloudy,23,55,5
53.264817,-117.224083,2006-07-03 12:00:00,Cloudy,20,40,0
53.310167,-116.760167,2006-07-03 19:30:00,Cloudy,20,69,2
53.491667,-116.6585,2006-07-03 19:33:00,Clear,25,42,5
51.720417,-115.186967,2006-07-02 13:00:00,CB Wet,20,65,5
